date,text,isNew
"2026年2月","ZOZO研究所 デプロイメント部 ディレクターに昇進しました。",true
"2026年2月","機械学習トップカンファレンス「ICLR 2026」に2本の論文が採択されました。",true
"2025年9月","<a href=""https://zozonext.com/news/20251016_zozoresearch"" target=""_blank"">EMNLP 2025</a>に論文が採択されました。",false
"2025年5月","千葉工業大学との共同研究が<a href=""https://zozonext.com/news/20250526_zozoresearch"" target=""_blank"">IJCAI 2025</a>に採択されました。",false
"2025年2月","<a href=""https://zozonext.com/news/20250203_zozoresearch"" target=""_blank"">The Web Conference (WWW) 2025</a>に論文が採択されました。",false
"2025年1月","<a href=""https://zozonext.com/news/20250217_zozoresearch"" target=""_blank"">ICLR 2025</a>に論文が採択されました。",false
"2025年","COLM 2025に論文が採択されました。",false
"2025年","RecSys 2025（Late-Breaking Results）に論文が採択されました。",false
"2025年","ICME 2025（Oral）に論文が採択されました。",false
"2024年","LINEヤフーグループ 最優秀社員賞を受賞しました（27,000名以上の中から上位3名）。",false
"2023年7月","カリフォルニア大学サンディエゴ校 コンピュータサイエンス学部の客員研究員として着任しました。",false
